request,time_total (s)
1,0.002226
2,0.001928
3,0.002608
4,0.001823
5,0.003417
6,0.003768
7,0.002624
8,0.003456
9,0.003748
10,0.003097
11,0.002634
12,0.003142
13,0.001825
14,0.003997
15,0.003312
16,0.002029
17,0.003985
18,0.003227
19,0.003172
20,0.001738
21,0.001745
22,0.002724
23,0.003367
24,0.003178
25,0.003868
26,0.003496
27,0.002505
28,0.003500
29,0.004335
30,0.003410
